,vehicle_id,data_installment,listing_price,data_make,data_model,data_year,data_mileage,data_transmission,doors,seat_capacity,assembled,engine_cc,peak_power,peak_torque,engine_type,fuel_type
3043,8754703,1722,132800,16,30,2022,0,0,5.0,5.0,0,1997.0,154.0,189.0,1,3
3044,8966031,1348,103990,27,118,2022,0,0,4.0,5.0,1,2442.0,181.0,430.0,1,0
3045,8958310,1348,103990,27,118,2022,0,0,4.0,5.0,1,2442.0,181.0,430.0,1,0
3046,8917684,920,71000,16,37,2022,0,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
3047,8950995,1696,130800,9,105,2022,0,0,4.0,5.0,1,1996.0,179.0,420.0,1,0
3048,8950965,1838,141800,27,118,2022,0,0,4.0,5.0,1,2442.0,181.0,430.0,1,0
3049,8950969,1348,103990,27,118,2022,0,0,4.0,5.0,1,2442.0,181.0,430.0,1,0
3050,8943961,1010,77890,27,118,2022,0,1,4.0,5.0,1,2477.0,110.0,200.0,1,0
3051,8943940,1838,141800,27,118,2022,0,0,4.0,5.0,1,2442.0,181.0,430.0,1,0
3052,7679986,857,66100,29,21,2021,0,0,5.0,5.0,0,998.0,98.0,140.0,1,3
3053,8899579,1958,151000,9,105,2022,0,0,4.0,5.0,1,1996.0,213.0,500.0,1,0
3054,8899543,2697,208000,9,105,2022,0,0,4.0,5.0,1,1996.0,213.0,500.0,1,0
3055,8881459,1696,130800,9,105,2022,0,0,4.0,5.0,1,1996.0,179.0,420.0,1,0
3056,7349181,1071,82593,36,126,2020,0,0,4.0,5.0,0,1496.0,107.0,140.0,1,3
3057,7753640,3137,241997,38,132,2021,0,0,5.0,5.0,0,1477.0,174.0,425.0,1,2
3060,8789535,2565,197842,36,35,2022,0,0,4.0,5.0,1,2487.0,209.0,253.0,1,3
3063,7753637,3003,231651,38,132,2021,0,0,5.0,5.0,0,1969.0,252.0,350.0,1,3
3064,7468838,1565,120754,36,78,2021,0,0,5.0,7.0,0,1998.0,139.0,183.0,1,3
3065,7135491,1880,145000,9,105,2020,0,0,4.0,5.0,1,1996.0,213.0,500.0,1,0
3066,8123629,1867,144000,9,105,2021,0,0,4.0,5.0,1,1996.0,213.0,500.0,1,0
3067,8303174,1761,135800,16,30,2021,0,0,5.0,5.0,0,1498.0,193.0,243.0,1,3
3068,8538349,946,73000,16,37,2021,0,0,5.0,5.0,0,1498.0,121.0,145.0,1,3
3069,6107292,1608,124000,9,105,2019,0,0,4.0,5.0,1,1996.0,179.0,420.0,1,0
3070,8410288,1491,115000,9,105,2021,0,0,4.0,5.0,1,2198.0,160.0,385.0,1,0
3071,8409502,1491,115000,9,105,2021,0,0,4.0,5.0,1,2198.0,160.0,385.0,1,0
3072,8130880,1335,103000,9,105,2021,0,0,4.0,5.0,1,2198.0,160.0,385.0,1,0
3073,8514042,1478,114000,9,105,2021,0,0,4.0,5.0,1,2198.0,160.0,385.0,1,0
3074,8410319,1491,115000,9,105,2021,0,0,4.0,5.0,1,2198.0,160.0,385.0,1,0
3075,8513987,1335,103000,9,105,2021,0,0,4.0,5.0,1,2198.0,160.0,385.0,1,0
3076,8474460,1335,103000,9,105,2021,0,0,4.0,5.0,1,2198.0,160.0,385.0,1,0
3077,7379505,972,75000,16,23,2021,1,0,5.0,7.0,0,1497.0,120.0,145.0,1,3
3078,8538823,1593,122888,9,105,2021,0,0,4.0,5.0,1,1996.0,179.0,420.0,1,0
3080,8410257,1491,115000,9,105,2021,0,0,4.0,5.0,1,2198.0,160.0,385.0,1,0
3081,8130883,1335,103000,9,105,2021,0,0,4.0,5.0,1,2198.0,160.0,385.0,1,0
3082,8420631,1491,115000,9,105,2021,0,0,4.0,5.0,1,2198.0,160.0,385.0,1,0
3083,8123529,1335,103000,9,105,2021,0,0,4.0,5.0,1,2198.0,160.0,385.0,1,0
3084,8074995,963,74300,16,23,2021,0,0,5.0,7.0,0,1497.0,120.0,145.0,1,3
3085,6861872,530,40900,29,90,2020,1,1,5.0,5.0,0,1329.0,95.0,121.0,1,3
3086,8075000,1216,93800,16,72,2021,0,0,5.0,5.0,0,1799.0,143.0,172.0,1,3
3087,8455276,959,74000,16,37,2021,0,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
3088,7348183,1736,133900,16,30,2021,1,0,5.0,5.0,0,1997.0,154.0,189.0,1,3
3089,7351555,1258,97000,16,72,2021,1,0,5.0,5.0,0,1799.0,143.0,172.0,1,3
3090,7348115,908,70000,16,37,2021,1,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
3091,7639176,908,70000,16,37,2021,1,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
3092,7989816,892,68800,16,81,2021,1,0,5.0,5.0,0,1497.0,120.0,145.0,1,3
3093,6607758,2113,163000,16,16,2020,1,0,4.0,5.0,0,1498.0,201.0,260.0,1,3
3094,8361252,1722,132800,16,30,2021,0,0,5.0,5.0,0,1498.0,193.0,243.0,1,3
3095,8319881,2091,161300,16,16,2021,0,0,4.0,5.0,0,1498.0,201.0,260.0,1,3
3096,7348131,1994,153800,16,30,2021,0,0,5.0,5.0,0,1498.0,193.0,243.0,1,3
3097,7351442,882,68000,16,37,2021,0,0,4.0,5.0,0,1498.0,121.0,145.0,1,3
3098,7193073,1595,123000,9,105,2021,0,0,4.0,5.0,1,1996.0,179.0,420.0,1,0
3099,8084575,1011,78000,16,23,2021,0,0,5.0,7.0,0,1497.0,120.0,145.0,1,3
3100,8074986,879,67800,16,81,2021,0,0,5.0,5.0,0,1497.0,120.0,145.0,1,3
3101,6522612,1193,92000,16,72,2020,1,0,5.0,5.0,0,1799.0,143.0,172.0,1,3
3102,6522868,1219,94000,16,72,2020,1,0,5.0,5.0,0,1799.0,143.0,172.0,1,3
3103,7215185,1770,136500,16,30,2020,0,0,5.0,5.0,0,1997.0,154.0,189.0,1,3
3104,7379539,882,68000,16,81,2021,1,0,5.0,5.0,0,1497.0,120.0,145.0,1,3
3105,7351596,1582,122000,16,38,2021,0,0,4.0,5.0,0,1498.0,173.0,220.0,1,3
3106,8084602,892,68800,16,81,2021,0,0,5.0,5.0,0,1497.0,120.0,145.0,1,3
3107,7767417,1283,99000,16,72,2021,0,0,5.0,5.0,0,1799.0,143.0,172.0,1,3
3108,7351654,1374,106000,16,38,2021,1,0,4.0,5.0,0,1799.0,141.0,174.0,1,3
3109,6583246,843,65000,16,81,2020,1,0,5.0,5.0,0,1497.0,120.0,145.0,1,3
3110,7155048,927,71500,16,37,2020,1,0,4.0,5.0,0,1497.0,120.0,145.0,1,3
3111,8173878,933,72000,36,126,2021,0,0,4.0,5.0,0,1496.0,107.0,140.0,1,3
3112,8153602,2645,204000,9,105,2021,0,0,4.0,5.0,1,1996.0,213.0,500.0,1,0
3113,8147244,933,72000,36,126,2021,0,0,4.0,5.0,0,1496.0,107.0,140.0,1,3
3114,8144014,933,72000,36,126,2021,0,0,4.0,5.0,0,1496.0,107.0,140.0,1,3
3115,8141163,933,72000,36,126,2021,0,0,4.0,5.0,0,1496.0,107.0,140.0,1,3
3116,8138637,933,72000,36,126,2021,0,0,4.0,5.0,0,1496.0,107.0,140.0,1,3
3117,8136632,942,72623,36,126,2021,0,0,4.0,5.0,0,1496.0,107.0,140.0,1,3
3118,6835117,1037,80000,16,23,2020,1,0,5.0,7.0,0,1497.0,120.0,145.0,1,3
3119,7180025,932,71888,16,37,2020,1,0,4.0,5.0,0,1497.0,120.0,145.0,1,3
3120,8064283,1867,144000,9,105,2021,0,0,4.0,5.0,1,1996.0,213.0,500.0,1,0
3121,7940191,1335,103000,9,105,2021,0,0,4.0,5.0,1,2198.0,160.0,385.0,1,0
3122,7940107,1335,103000,9,105,2021,0,0,4.0,5.0,1,2198.0,160.0,385.0,1,0
3123,7940247,1335,103000,9,105,2021,0,0,4.0,5.0,1,2198.0,160.0,385.0,1,0
3124,7612924,450,34700,31,111,2021,0,0,4.0,5.0,0,1332.0,95.0,120.0,1,3
3125,11212317,3760,290000,35,89,2022,0,0,4.0,5.0,2,1496.0,287.0,450.0,0,1
3126,11210129,1400,108000,9,105,2022,0,0,4.0,5.0,1,1996.0,170.0,405.0,1,0
3127,11210120,1400,108000,9,105,2022,0,0,4.0,5.0,1,1996.0,170.0,405.0,1,0
3128,11210113,1400,108000,9,105,2022,0,0,4.0,5.0,1,1996.0,170.0,405.0,1,0
3129,11210100,1400,108000,9,105,2022,0,0,4.0,5.0,1,1996.0,170.0,405.0,1,0
3130,11210093,1400,108000,9,105,2022,0,0,4.0,5.0,1,1996.0,170.0,405.0,1,0
3131,11066263,3745,288888,38,132,2022,0,0,5.0,5.0,0,1496.0,408.0,660.0,0,1
3132,11178260,2850,219800,36,35,2023,0,0,4.0,5.0,1,2487.0,209.0,253.0,1,3
3133,11167707,1891,145888,36,40,2023,0,0,4.0,5.0,1,1798.0,140.0,172.0,1,3
3134,11167077,1891,145888,36,40,2023,0,0,4.0,5.0,1,1798.0,140.0,172.0,1,3
3135,11166969,1891,145888,36,40,2023,0,0,4.0,5.0,1,1798.0,140.0,172.0,1,3
3136,11166999,1891,145888,36,40,2023,0,0,4.0,5.0,1,1798.0,140.0,172.0,1,3
3137,11166137,1891,145888,36,40,2023,0,0,4.0,5.0,1,1798.0,140.0,172.0,1,3
3138,11167045,1891,145888,36,40,2023,0,0,4.0,5.0,1,1798.0,140.0,172.0,1,3
3140,11066033,3745,288888,38,29,2022,0,0,5.0,5.0,0,1496.0,413.0,660.0,0,1
3142,11065993,3745,288888,38,29,2022,0,0,5.0,5.0,0,1496.0,413.0,660.0,0,1
3144,11184118,2881,222222,25,34,2022,0,0,5.0,6.0,0,2191.0,190.0,450.0,1,0
3145,11183655,2593,200000,22,140,2022,0,0,5.0,5.0,1,1496.0,177.0,280.0,0,1
3165,11179668,3876,299000,35,89,2022,0,0,4.0,5.0,2,1496.0,351.0,510.0,0,1
3166,11179665,3876,299000,35,89,2022,0,0,4.0,5.0,2,1496.0,351.0,510.0,0,1
3167,11179663,3876,299000,35,89,2022,0,0,4.0,5.0,2,1496.0,351.0,510.0,0,1
3168,11179661,3876,299000,35,89,2022,0,0,4.0,5.0,2,1496.0,351.0,510.0,0,1
3169,11179660,3876,299000,35,89,2022,0,0,4.0,5.0,2,1496.0,351.0,510.0,0,1
3170,11179658,3876,299000,35,89,2022,0,0,4.0,5.0,2,1496.0,351.0,510.0,0,1
3171,11179572,3369,259888,20,36,2022,0,0,5.0,11.0,1,2151.0,201.0,440.0,1,0
3172,11179426,3369,259888,20,36,2022,0,0,5.0,11.0,1,2151.0,201.0,440.0,1,0
3173,11179404,3369,259888,20,36,2022,0,0,5.0,11.0,1,2151.0,201.0,440.0,1,0
3174,11178219,2850,219800,36,35,2023,0,0,4.0,5.0,1,2487.0,209.0,253.0,1,3
3175,10981299,3654,281888,9,49,2022,0,0,5.0,7.0,1,1996.0,209.0,500.0,1,0
3176,10981331,3421,263888,9,49,2022,0,0,5.0,7.0,1,1996.0,170.0,405.0,1,0
